Rank,month1_01,month1_02,month1_03,month1_04,month1_05,month1_06,month1_07,month1_08,month1_09,month1_10
37,2015-01-svobodanews.ru_712,2015-01-oko-planet.su_977,2015-01-itar-tass.com_5538,2015-01-ria.ru_5307,2015-01-segodnia.ru_51,2015-01-novosti-n.org_740,2015-01-ria.ru_5766,2015-01-rbc.ua_259,2015-01-ria.ru_8637,2015-01-slon.ru_286
38,2015-01-topwar.ru_390,2015-01-rtr-vesti.ru_3345,2015-01-itar-tass.com_652,2015-01-ria.ru_10097,2015-01-segodnia.ru_1187,2015-01-itar-tass.com_1666,2015-01-gazeta.ru_619,2015-01-grani.ru_102,2015-01-ria.ru_118,2015-01-slon.ru_284
39,2015-01-svobodanews.ru_698,2015-01-svpressa.ru_426,2015-01-rusplt.ru_5881,2015-01-versii.com_512,2015-01-segodnia.ru_1188,2015-01-newsru.com_592,2015-01-gazeta.ru_551,2015-01-rus.newsru.ua_881,2015-01-ria.ru_1227,2015-01-rbc.ru_3993
40,2015-01-regnum.ru_5463,2015-01-newsru.com_596,2015-01-rusplt.ru_12742,2015-01-ria.ru_6757,2015-01-segodnia.ru_508,2015-01-rbc.ru_1494,2015-01-itar-tass.com_167,2015-01-rus.newsru.ua_1185,2015-01-ria.ru_8644,2015-01-vedomosti.ru_1835
41,2015-01-oko-planet.su_1411,2015-01-rbc.ru_310,2015-01-rusplt.ru_4778,2015-01-oko-planet.su_2379,2015-01-segodnia.ru_507,2015-01-rusplt.ru_198,2015-01-ria.ru_8084,2015-01-rus.newsru.ua_1342,2015-01-ria.ru_7696,2015-01-interfax.ru_1491
42,2015-01-inosmi.ru_487,2015-01-itar-tass.com_6140,2015-01-regnum.ru_1251,2015-01-rtr-vesti.ru_4176,2015-01-segodnia.ru_119,2015-01-rus.newsru.ua_357,2015-01-sovsport.ru_3663,2015-01-rus.newsru.ua_1877,2015-01-ria.ru_1243,2015-01-regnum.ru_3950
43,2015-01-from-ua.com.ua_1992,2015-01-oko-planet.su_333,2015-01-interfax.ru_3716,2015-01-oko-planet.su_2028,2015-01-segodnia.ru_1190,2015-01-newsru.com_310,2015-01-rbc.ru_1311,2015-01-newsru.com_183,2015-01-ria.ru_1282,2015-01-rbc.ru_4105
44,2015-01-regnum.ru_2580,2015-01-slon.ru_123,2015-01-itar-tass.com_6047,2015-01-ria.ru_2911,2015-01-segodnia.ru_506,2015-01-ria.ru_5255,2015-01-itar-tass.com_3918,2015-01-svobodanews.ru_197,2015-01-ria.ru_1287,2015-01-rusplt.ru_7737
45,2015-01-e-news.su_585,2015-01-slon.ru_128,2015-01-rusplt.ru_9731,2015-01-ria.ru_5331,2015-01-segodnia.ru_1193,2015-01-slon.ru_39,2015-01-itar-tass.com_7138,2015-01-rus.newsru.ua_1473,2015-01-ria.ru_1316,2015-01-rtr-vesti.ru_5683
46,2015-01-topwar.ru_1560,2015-01-podrobnosti.com.ua_1144,2015-01-itar-tass.com_1839,2015-01-ria.ru_7558,2015-01-segodnia.ru_501,2015-01-ria.ru_1851,2015-01-itar-tass.com_670,2015-01-rus.newsru.ua_1453,2015-01-ria.ru_1363,2015-01-slon.ru_421
47,2015-01-oko-planet.su_2689,2015-01-charter97.org_496,2015-01-rusplt.ru_8949,2015-01-ria.ru_5789,2015-01-segodnia.ru_50,2015-01-ria.ru_4028,2015-01-gazeta.ru_5293,2015-01-rbc.ru_343,2015-01-ria.ru_1364,2015-01-itar-tass.com_7501
48,2015-01-svobodanews.ru_486,2015-01-charter97.org_1378,2015-01-rtr-vesti.ru_1128,2015-01-rbc.ru_3863,2015-01-segodnia.ru_1196,2015-01-ria.ru_1785,2015-01-rtr-vesti.ru_295,2015-01-rbc.ru_72,2015-01-ria.ru_1375,2015-01-interfax.ru_2584
49,2015-01-polit.ru_2521,2015-01-rbc.ua_226,2015-01-rusplt.ru_3326,2015-01-ria.ru_2861,2015-01-segodnia.ru_1197,2015-01-versii.com_287,2015-01-sovsport.ru_1706,2015-01-rus.newsru.ua_511,2015-01-ria.ru_6139,2015-01-slon.ru_380
50,2015-01-news.rambler.ru_1131,2015-01-oko-planet.su_1253,2015-01-rtr-vesti.ru_450,2015-01-rbc.ru_2567,2015-01-segodnia.ru_1227,2015-01-ria.ru_2614,2015-01-sovsport.ru_3953,2015-01-grani.ru_152,2015-01-ria.ru_6137,2015-01-vedomosti.ru_1576
